datetime,location,lat,lon,pm1,pm10,pm25,relativehumidity,temperature,um003,pm25_zscore,temperature_zscore,relativehumidity_zscore
2025-01-02T17:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.12,3.12,24.06,10.87,383.88,-0.19,-0.01,-1.7
2025-01-02T18:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.12,,0.83,45.16,10.87,,-0.94,-0.01,0.02
2025-01-02T18:00:00-05:00,Charlotte-1224494,35.23,-80.84,,2.83,3.12,28.31,9.37,339.75,-0.19,-0.32,-1.35
2025-01-02T19:00:00-05:00,Charlotte-1224494,35.23,-80.84,,14.0,3.12,34.26,7.4,1069.23,-0.19,-0.72,-0.87
2025-01-02T19:00:00-05:00,Charlotte-2490581,35.23,-80.84,14.36,,7.23,45.16,10.87,,1.15,-0.01,0.02
2025-01-02T20:00:00-05:00,Charlotte-1224494,35.23,-80.84,,15.06,3.12,40.06,5.63,1297.67,-0.19,-1.08,-0.4
2025-01-02T20:00:00-05:00,Charlotte-2490581,35.23,-80.84,15.67,,8.89,45.16,10.87,,1.69,-0.01,0.02
2025-01-02T21:00:00-05:00,Charlotte-1224494,35.23,-80.84,,19.79,3.12,43.97,4.62,1641.62,-0.19,-1.28,-0.08
2025-01-02T21:00:00-05:00,Charlotte-2490581,35.23,-80.84,21.12,,11.46,45.16,10.87,,2.53,-0.01,0.02
2025-01-02T22:00:00-05:00,Charlotte-2490581,35.23,-80.84,16.75,,9.71,45.16,10.87,,1.96,-0.01,0.02
2025-01-02T22:00:00-05:00,Charlotte-1224494,35.23,-80.84,,16.38,3.12,47.4,3.95,1397.75,-0.19,-1.42,0.2
2025-01-02T23:00:00-05:00,Charlotte-1224494,35.23,-80.84,,24.33,3.12,50.32,3.85,1954.0,-0.19,-1.44,0.44
2025-01-02T23:00:00-05:00,Charlotte-2490581,35.23,-80.84,25.75,,13.83,45.16,10.87,,3.31,-0.01,0.02
2025-01-03T00:00:00-05:00,Charlotte-1224494,35.23,-80.84,,18.04,3.12,52.75,3.64,1494.25,-0.19,-1.48,0.64
2025-01-03T00:00:00-05:00,Charlotte-2490581,35.23,-80.84,18.75,,10.42,45.16,10.87,,2.19,-0.01,0.02
2025-01-03T01:00:00-05:00,Charlotte-1224494,35.23,-80.84,,15.25,3.12,54.67,3.29,1263.38,-0.19,-1.55,0.79
2025-01-03T01:00:00-05:00,Charlotte-2490581,35.23,-80.84,15.92,,8.42,45.16,10.87,,1.54,-0.01,0.02
2025-01-03T02:00:00-05:00,Charlotte-2490581,35.23,-80.84,17.75,,9.46,45.16,10.87,,1.88,-0.01,0.02
2025-01-03T02:00:00-05:00,Charlotte-1224494,35.23,-80.84,,16.83,3.12,56.3,2.76,1382.88,-0.19,-1.66,0.93
2025-01-03T03:00:00-05:00,Charlotte-1224494,35.23,-80.84,,17.21,3.12,57.95,2.54,1419.38,-0.19,-1.71,1.06
2025-01-03T03:00:00-05:00,Charlotte-2490581,35.23,-80.84,17.46,,9.67,45.16,10.87,,1.95,-0.01,0.02
2025-01-03T04:00:00-05:00,Charlotte-2490581,35.23,-80.84,18.04,,10.25,45.16,10.87,,2.14,-0.01,0.02
2025-01-03T04:00:00-05:00,Charlotte-1224494,35.23,-80.84,,17.17,3.12,58.42,2.68,1499.75,-0.19,-1.68,1.1
2025-01-03T05:00:00-05:00,Charlotte-2490581,35.23,-80.84,18.38,,10.25,45.16,10.87,,2.14,-0.01,0.02
2025-01-03T05:00:00-05:00,Charlotte-1224494,35.23,-80.84,,17.38,3.12,58.5,3.04,1495.88,-0.19,-1.6,1.11
2025-01-03T06:00:00-05:00,Charlotte-2490581,35.23,-80.84,16.67,,9.25,45.16,10.87,,1.81,-0.01,0.02
2025-01-03T06:00:00-05:00,Charlotte-1224494,35.23,-80.84,,15.75,3.12,57.95,3.58,1342.38,-0.19,-1.49,1.06
2025-01-03T07:00:00-05:00,Charlotte-2490581,35.23,-80.84,13.17,,7.38,45.16,10.87,,1.2,-0.01,0.02
2025-01-03T07:00:00-05:00,Charlotte-1224494,35.23,-80.84,,12.42,3.12,58.38,3.44,1091.38,-0.19,-1.52,1.1
2025-01-03T08:00:00-05:00,Charlotte-2490581,35.23,-80.84,9.5,,4.71,45.16,10.87,,0.33,-0.01,0.02
2025-01-03T08:00:00-05:00,Charlotte-1224494,35.23,-80.84,,8.83,3.12,59.46,3.3,791.0,-0.19,-1.55,1.19
2025-01-03T09:00:00-05:00,Charlotte-2490581,35.23,-80.84,10.25,,5.38,45.16,10.87,,0.55,-0.01,0.02
2025-01-03T09:00:00-05:00,Charlotte-1224494,35.23,-80.84,,9.38,3.12,58.77,4.0,842.75,-0.19,-1.41,1.13
2025-01-03T10:00:00-05:00,Charlotte-2490581,35.23,-80.84,9.29,,4.38,45.16,10.87,,0.22,-0.01,0.02
2025-01-03T10:00:00-05:00,Charlotte-1224494,35.23,-80.84,,8.92,3.12,52.95,6.03,762.0,-0.19,-1.0,0.65
2025-01-03T11:00:00-05:00,Charlotte-1224494,35.23,-80.84,,6.75,3.12,34.05,14.22,771.38,-0.19,0.67,-0.89
2025-01-03T11:00:00-05:00,Charlotte-2490581,35.23,-80.84,7.17,,3.54,45.16,10.87,,-0.05,-0.01,0.02
2025-01-03T12:00:00-05:00,Charlotte-1224494,35.23,-80.84,,7.62,3.12,20.7,20.4,948.75,-0.19,1.93,-1.97
2025-01-03T12:00:00-05:00,Charlotte-2490581,35.23,-80.84,7.96,,4.33,45.16,10.87,,0.21,-0.01,0.02
2025-01-03T13:00:00-05:00,Charlotte-2490581,35.23,-80.84,4.38,,2.38,45.16,10.87,,-0.43,-0.01,0.02
2025-01-03T13:00:00-05:00,Charlotte-1224494,35.23,-80.84,,4.29,3.12,16.98,20.91,571.0,-0.19,2.03,-2.28
2025-01-03T14:00:00-05:00,Charlotte-2490581,35.23,-80.84,2.96,,1.08,45.16,10.87,,-0.85,-0.01,0.02
2025-01-03T14:00:00-05:00,Charlotte-1224494,35.23,-80.84,,2.88,3.12,19.44,16.29,364.75,-0.19,1.09,-2.08
2025-01-03T15:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.75,3.12,23.79,13.15,282.0,-0.19,0.45,-1.72
2025-01-03T15:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.96,,0.58,45.16,10.87,,-1.02,-0.01,0.02
2025-01-03T16:00:00-05:00,Charlotte-2490581,35.23,-80.84,2.04,,0.5,45.16,10.87,,-1.04,-0.01,0.02
2025-01-03T16:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.96,3.12,26.98,11.95,278.62,-0.19,0.21,-1.46
2025-01-03T17:00:00-05:00,Charlotte-1224494,35.23,-80.84,,2.08,3.12,28.65,10.79,284.75,-0.19,-0.03,-1.33
2025-01-03T17:00:00-05:00,Charlotte-2490581,35.23,-80.84,2.12,,0.62,45.16,10.87,,-1.0,-0.01,0.02
2025-01-03T18:00:00-05:00,Charlotte-1224494,35.23,-80.84,,2.29,3.12,28.64,9.53,299.38,-0.19,-0.28,-1.33
2025-01-03T18:00:00-05:00,Charlotte-2490581,35.23,-80.84,2.62,,0.67,45.16,10.87,,-0.99,-0.01,0.02
2025-01-03T19:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.33,,1.0,45.16,10.87,,-0.88,-0.01,0.02
2025-01-03T19:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.25,3.12,31.45,8.31,361.0,-0.19,-0.53,-1.1
2025-01-03T20:00:00-05:00,Charlotte-2490581,35.23,-80.84,3.12,,1.29,45.16,10.87,,-0.79,-0.01,0.02
2025-01-03T20:00:00-05:00,Charlotte-1224494,35.23,-80.84,,3.12,3.12,35.73,7.25,426.0,-0.19,-0.75,-0.75
2025-01-03T21:00:00-05:00,Charlotte-1224494,35.23,-80.84,,2.5,3.12,34.79,6.47,392.0,-0.19,-0.91,-0.83
2025-01-03T21:00:00-05:00,Charlotte-2490581,35.23,-80.84,2.71,,0.96,45.16,10.87,,-0.89,-0.01,0.02
2025-01-03T22:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.92,3.12,32.07,5.73,143.25,-0.19,-1.06,-1.05
2025-01-03T22:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.08,,0.08,45.16,10.87,,-1.18,-0.01,0.02
2025-01-03T23:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.75,3.12,29.24,5.19,130.62,-0.19,-1.17,-1.28
2025-01-03T23:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.83,,0.04,45.16,10.87,,-1.19,-0.01,0.02
2025-01-04T00:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.88,3.12,29.74,4.53,157.0,-0.19,-1.3,-1.24
2025-01-04T00:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.96,,0.0,45.16,10.87,,-1.21,-0.01,0.02
2025-01-04T01:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.25,3.12,30.53,3.94,167.88,-0.19,-1.42,-1.17
2025-01-04T01:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.38,,0.21,45.16,10.87,,-1.14,-0.01,0.02
2025-01-04T02:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.12,3.12,31.58,3.39,165.5,-0.19,-1.53,-1.09
2025-01-04T02:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.25,,0.04,45.16,10.87,,-1.19,-0.01,0.02
2025-01-04T03:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.92,3.12,33.06,2.83,158.88,-0.19,-1.65,-0.97
2025-01-04T03:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.92,,0.04,45.16,10.87,,-1.19,-0.01,0.02
